Rowid_,GISJOIN,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,G3200310002612,1865,102,65280000.000000000000000,4264.397460937500000,4325.265625000000000,60.868164062500000,4294.757305070465918,14.037212662405857,438065.245117187500000
,G3200310002613,1866,64,40960000.000000000000000,4221.286132812500000,4294.243164062500000,72.957031250000000,4263.426086425781250,16.817917638352721,272859.269531250000000
,G3200310002614,1867,5,3200000.000000000000000,4349.156250000000000,4363.166503906250000,14.010253906250000,4355.232128906250182,4.782641345204680,21776.160644531250000
,G3200310002615,1868,12,7680000.000000000000000,4345.442871093750000,4365.313964843750000,19.871093750000000,4353.805379231770530,5.992392245114146,52245.664550781250000
,G3200310002616,1869,7,4480000.000000000000000,4340.276855468750000,4351.043945312500000,10.767089843750000,4345.992466517856883,3.448341818538993,30421.947265625000000
,G3200310002617,1870,29,18560000.000000000000000,4377.684570312500000,4401.636230468750000,23.951660156250000,4390.832064924568840,6.741095975648783,127334.129882812500000
,G3200310002618,1871,199,127360000.000000000000000,4282.353027343750000,4381.528808593750000,99.175781250000000,4329.727740263819214,28.239572579219985,861615.820312500000000
,G3200310002619,1872,61,39040000.000000000000000,4316.734375000000000,4397.930175781250000,81.195800781250000,4365.611280097336021,19.918228502651186,266302.288085937500000
,G3200310002703,1873,12,7680000.000000000000000,4392.616210937500000,4403.776367187500000,11.160156250000000,4398.835611979166970,3.638331548023521,52786.027343750000000
,G3200310002704,1874,18,11520000.000000000000000,4393.618164062500000,4404.404785156250000,10.786621093750000,4399.494032118055657,3.684494947501935,79190.892578125000000
,G3200310002705,1875,58,37120000.000000000000000,4355.845214843750000,4391.867187500000000,36.021972656250000,4373.221124057112320,8.868599177012008,253646.825195312500000
,G3200310002706,1876,7,4480000.000000000000000,4378.044433593750000,4384.780273437500000,6.735839843750000,4382.764020647321558,2.394211426149878,30679.348144531250000
,G3200310002707,1877,14,8960000.000000000000000,4384.298828125000000,4393.914062500000000,9.615234375000000,4388.837053571428442,2.570350752697832,61443.718750000000000
,G3200310002801,1878,8,5120000.000000000000000,4404.014648437500000,4410.745117187500000,6.730468750000000,4407.599182128906250,1.921224320175842,35260.793457031250000
,G3200310002802,1879,2,1280000.000000000000000,4410.607421875000000,4410.757812500000000,0.150390625000000,4410.682617187500000,0.075195312500000,8821.365234375000000
,G3200310002901,1880,4,2560000.000000000000000,4403.583984375000000,4406.250976562500000,2.666992187500000,4405.212402343750000,1.010386056862414,17620.849609375000000
,G3200310002902,1881,6,3840000.000000000000000,4407.274902343750000,4410.295410156250000,3.020507812500000,4408.804606119791970,1.065421982319794,26452.827636718750000
,G3200310003000,1882,6,3840000.000000000000000,4410.976562500000000,4413.750000000000000,2.773437500000000,4412.383870442708030,0.942550046112332,26474.303222656250000
,G3200310003101,1883,57,36480000.000000000000000,4398.925781250000000,4418.334960937500000,19.409179687500000,4411.035635964912217,5.626703036125051,251429.031250000000000
,G3200310003105,1884,2,1280000.000000000000000,4402.265625000000000,4404.457519531250000,2.191894531250000,4403.361572265625000,1.095947265625000,8806.723144531250000
,G3200310003106,1885,6,3840000.000000000000000,4406.509765625000000,4410.184082031250000,3.674316406250000,4408.331868489583030,1.178012583080216,26449.991210937500000
,G3200310003108,1886,6,3840000.000000000000000,4399.187500000000000,4403.558593750000000,4.371093750000000,4401.387858072916970,1.407704954347464,26408.327148437500000
,G3200310003109,1887,5,3200000.000000000000000,4398.536132812500000,4405.533203125000000,6.997070312500000,4402.076660156250000,2.451344926660239,22010.383300781250000
,G3200310003110,1888,6,3840000.000000000000000,4403.329101562500000,4406.911621093750000,3.582519531250000,4405.328857421875000,1.183252963282893,26431.973144531250000
,G3200310003202,1889,406,259840000.000000000000000,4204.633789062500000,4397.020996093750000,192.387207031250000,4321.188377944119566,45.119526290194337,1754402.481445312500000
,G3200310003203,1890,111,71040000.000000000000000,4346.010253906250000,4400.897460937500000,54.887207031250000,4377.798375035191384,12.703912772972544,485935.619628906250000
,G3200310003204,1891,389,248960000.000000000000000,4114.508300781250000,4361.434570312500000,246.926269531250000,4264.576613713045845,60.783492288035468,1658920.302734375000000
,G3200310003305,1892,4,2560000.000000000000000,4186.312500000000000,4204.574707031250000,18.262207031250000,4194.953979492187500,6.742305532463249,16779.815917968750000
,G3200310003306,1893,4,2560000.000000000000000,4176.474609375000000,4184.209960937500000,7.735351562500000,4180.298095703125000,2.944022900592712,16721.192382812500000
,G3200310003307,1894,6,3840000.000000000000000,4179.069824218750000,4191.894042968750000,12.824218750000000,4186.713216145833030,4.180115082519211,25120.279296875000000
,G3200310003308,1895,54,34560000.000000000000000,4108.670410156250000,4277.965332031250000,169.294921875000000,4198.514286747685219,42.395158009926440,226719.771484375000000
,G3200310003309,1896,111,71040000.000000000000000,4085.194824218750000,4271.363281250000000,186.168457031250000,4183.329614037866122,51.046647158479900,464349.587158203125000
,G3200310003501,1897,36658,23461120000.000000000000000,3764.270019531250000,4935.087402343750000,1170.817382812500000,4257.710371883354128,258.244067530248913,156079146.812500000000000
,G3200310003503,1898,54,34560000.000000000000000,4352.923339843750000,4401.638183593750000,48.714843750000000,4371.315836588541970,12.529973277482407,236051.055175781250000
,G3200310003504,1899,74,47360000.000000000000000,4308.529785156250000,4365.975585937500000,57.445800781250000,4340.619978621199152,15.454653165261938,321205.878417968750000
,G3200310003507,1900,9,5760000.000000000000000,4391.974121093750000,4398.063964843750000,6.089843750000000,4394.805772569444343,1.835217097824404,39553.251953125000000
,G3200310003508,1901,13,8320000.000000000000000,4391.348144531250000,4403.000000000000000,11.651855468750000,4397.748197115384755,3.097808655784244,57170.726562500000000
,G3200310003509,1902,28,17920000.000000000000000,4362.810546875000000,4390.399902343750000,27.589355468750000,4376.403860909597825,7.907416204906425,122539.308105468750000
,G3200310003510,1903,5,3200000.000000000000000,4383.240722656250000,4392.818359375000000,9.577636718750000,4388.899218749999818,3.624004603475500,21944.496093750000000
,G3200310003511,1904,15,9600000.000000000000000,4359.031250000000000,4375.086425781250000,16.055175781250000,4367.122558593750000,4.835072534431948,65506.838378906250000
