"","GISJOIN","state_code","TOTALHH","response","SE","BTUelec","response","SE","BTUng","response","SE","BTUlpg","response","SE","BTUfo","response","SE","BTUwd"
"1892","G3500110960100","35",705,10.3375032366783,0.0431798008102245,33095535.4066959,10.6797047188916,0.0632810440206887,45919646.3559814,9.01310126320191,0.616218878489942,8209943.02899983,7.12110905277142,0.203908437872553,1237822.48294259,9.56297684609288,0.295740613754592,14228138.1975842
"1893","G3500130000102","35",1488,10.2243003815541,0.0431798008102245,29553303.6481973,10.7096900128883,0.0632810440206887,47317411.9299312,8.20730974267474,0.616218878489942,3667662.2268596,7.26573922234655,0.203908437872553,1430442.65219911,8.60983264171302,0.295740613754592,5485330.58544719
"1894","G3500130000103","35",1571,10.2139167417799,0.0431798008102245,29248020.5070252,10.6913875462313,0.0632810440206887,46459263.6460624,8.34665716068894,0.616218878489942,4216063.53757075,7.28270664821767,0.203908437872553,1454920.65899388,8.49505419206563,0.295740613754592,4890521.3487178
"1895","G3500130000104","35",1758,10.2624150880606,0.0431798008102245,30701460.9894885,10.7835555585896,0.0632810440206887,50944860.9685561,8.43550362163372,0.616218878489942,4607789.96872755,7.44927139921176,0.203908437872553,1718610.5081242,8.57669755636581,0.295740613754592,5306551.96767889
"1896","G3500130000201","35",1759,10.1645055248287,0.0431798008102245,27837963.4113686,10.7114031453992,0.0632810440206887,47398542.4004208,8.2563281538943,0.616218878489942,3851924.42826196,7.25601766559282,0.203908437872553,1416603.89887572,8.4983462714276,0.295740613754592,4906647.86343772
"1897","G3500130000202","35",2095,10.2478360626724,0.0431798008102245,30257110.5786819,10.7411544903605,0.0632810440206887,48829899.6090407,8.34248535285972,0.616218878489942,4198511.56787471,7.35662001047122,0.203908437872553,1566532.74031585,8.60350459872968,0.295740613754592,5450728.77406604
"1898","G3500130000300","35",1566,10.1173891911634,0.0431798008102245,26556760.4403771,10.5274662923361,0.0632810440206887,39435034.5951248,8.21088971207448,0.616218878489942,3680815.8761831,6.89832582439153,0.203908437872553,990614.863309066,8.6451536264813,0.295740613754592,5682540.17970509
"1899","G3500130000401","35",1215,10.0674624767287,0.0431798008102245,25263423.3267231,10.4712477567832,0.0632810440206887,37279220.8095012,8.22174152019686,0.616218878489942,3720976.89954643,7.15251952182824,0.203908437872553,1277320.14034355,8.46843457065258,0.295740613754592,4762054.97096798
"1900","G3500130000402","35",1914,10.181491923305,0.0431798008102245,28314869.1389521,10.6355380630725,0.0632810440206887,43935664.5617831,8.36540796409335,0.616218878489942,4295863.93883306,7.28622957314654,0.203908437872553,1460055.27437476,8.50699071750998,0.295740613754592,4949246.97392226
"1901","G3500130000500","35",1074,10.0116343303241,0.0431798008102245,23891660.9770379,10.5142822679998,0.0632810440206887,38918534.3963338,8.1657673916627,0.616218878489942,3518420.30777859,7.06674296832765,0.203908437872553,1172323.51452215,8.59925229911124,0.295740613754592,5427599.85258338
