"","GISJOIN","state_code","TOTALHH","TOTALPOP","BTUelec","BTUng","BTUlpg","BTUfo","BTUwood"
"31","G0800010008547",8,1143,3842,103679802288.074,242160459320.423,0.000929798552483841,0.00038419999999999,0.0128670233040938
"32","G0800010008548",8,584,1630,47773600564.9616,96351518580.0797,0.000745714572910558,0.000162999999999996,0.00152247892992479
"33","G0800010008549",8,1297,4258,122514219780.3,299486607966.966,0.00228680474594297,0.000425799999999989,0.00372745165496825
"34","G0800010008550",8,2676,8360,252793496456.406,564645451191.797,0.00150491260118036,0.000835999999999979,0.0342079027666888
"35","G0800010008603",8,770,1999,44420196216.0698,92870242722.1461,0.00031286186809482,0.000199899999999996,0.00108076907798852
"36","G0800010008604",8,1144,5304,147450244333.419,349688855134.431,0.00189253645033999,0.000530399999999987,0.0111563550521757
"37","G0800010008605",8,1444,4194,107560780250.633,223959423974.219,0.00137358503673159,0.000419399999999989,0.0081993721512437
"38","G0800010008606",8,2461,6454,132264510507.798,267010180462.211,0.00304798037309015,0.000645399999999986,0.00583407564156872
"39","G0800010008705",8,1451,5547,140625079096.771,327265017407.414,0.00466012675258512,0.000554699999999986,0.00717313148995957
"40","G0800010008706",8,1588,5835,148322409457.418,332376450959.661,0.00390402994377594,0.000583499999999985,0.00767132123904758
"41","G0800010008709",8,2533,7994,179236239964.6,373378177463.263,0.0048241722805879,0.00079939999999998,0.0104217809161127
"42","G0800010008801",8,1509,5274,128589886346.002,318521308426.053,0.00415625755456809,0.000527399999999987,0.00651572318398211
"43","G0800010008802",8,1172,5170,134208621923.04,321716107397.822,0.00191428692805791,0.000516999999999987,0.0156280574706981
"44","G0800010008901",8,730,2664,70855894498.5684,172126039868.051,0.00238712458805639,0.000266399999999993,0.00289147811101516
"45","G0800010009001",8,1477,4535,113082598508.772,213472647188.006,0.00172581506347487,0.000453499999999989,0.00489680250349698
"46","G0800010009002",8,3246,10217,242080437660.918,500768459545.963,0.00212874489441799,0.00102169999999997,0.0252046365600355
"47","G0800010009101",8,1397,4766,137844101615.424,325648415380.084,0.00590194636211053,0.000476599999999988,0.00587017627996423
"48","G0800010009103",8,1117,4268,113603393990.913,262662728567.892,0.00283815645663586,0.000426799999999989,0.00616190280430986
"49","G0800010009104",8,1883,5966,151365208200.914,340679801093.42,0.00205419374154698,0.000596599999999985,0.018733189486916
"50","G0800010009203",8,1721,4488,73404381731.9659,104898267121.192,0.00154392781601192,0.00044879999999999,0.0025879537561396
"51","G0800010009204",8,2632,7518,183971211192.16,330248786402.444,0.0038466529522573,0.000751799999999981,0.00961862624646284
"52","G0800010009206",8,808,2257,52488649418.9961,108801595556.321,0.000485836015737072,0.000225699999999994,0.00385249116740365
"53","G0800010009207",8,1559,4807,116112169052.803,216236824262.58,0.000885982013301967,0.000480699999999988,0.0148279755524102
"54","G0800010009304",8,2152,5846,133046644113.597,272308617666.775,0.00333052930432138,0.000584599999999985,0.00880424364178352
"55","G0800010009306",8,1246,3561,98824995028.226,243618722224.882,0.00116095646198451,0.000356099999999991,0.00390140714660722
"56","G0800010009307",8,1209,3944,89996359604.1486,194676162932.235,0.00100301366170015,0.00039439999999999,0.00613433826278894
"57","G0800010009308",8,1363,4606,110475103701.001,249404406522.969,0.00165813314316976,0.000460599999999988,0.0059034819898196
"58","G0800010009309",8,1620,3989,86526984397.8777,176552703623.157,0.00194006963570239,0.000398899999999991,0.00136534814099395
"59","G0800010009310",8,1921,5652,138444117481.168,299172926920.667,0.00321668379970185,0.000565199999999986,0.00312368190507691
"60","G0800010009316",8,2208,7291,184931835727.059,432447018180.129,0.00462983156673249,0.000729099999999982,0.0223041644200338
"61","G0800010009318",8,2255,6562,128003098654.526,232715749782.053,0.00275147800632304,0.000656199999999983,0.00565185969614493
"62","G0800010009320",8,1053,2834,47794837711.8033,85619522851.0293,0.00138161403931159,0.000283399999999993,0.0103262753524959
"63","G0800010009321",8,1278,3846,82477292279.5417,168290830322.525,0.00162804195425145,0.00038459999999999,0.00798503338238613
"64","G0800010009322",8,1616,4642,113784522166.208,248474972887.25,0.00205119519941779,0.000464199999999988,0.0151199400624661
"65","G0800010009323",8,1459,4004,83414032894.6579,153978016744.488,0.00143354229687896,0.00040039999999999,0.00288877273405576
"66","G0800010009325",8,2381,5200,115670054721.976,193800873168.184,0.0013880785233248,0.000519999999999989,0.0051471310246925
"67","G0800010009326",8,1152,2721,71960968811.095,149994861067.513,0.000808085309251712,0.000272099999999994,0.00233157685527901
"68","G0800010009327",8,1518,4228,112683533913.598,242420384603.175,0.00151770175675577,0.000422799999999989,0.00352969468507921
"69","G0800010009401",8,1771,5249,146100986405.431,320657633825.586,0.00290889430076984,0.000524899999999987,0.00828144259437248
"70","G0800010009406",8,1741,4541,114104766638.895,225142580783.184,0.00138193783397072,0.00045409999999999,0.00769669139760035
"71","G0800010009407",8,1765,5082,128907292695.274,262039171352.644,0.00169644971302697,0.000508199999999987,0.0126310233893784
"72","G0800010009408",8,1778,4823,140920129642.359,272260269826.845,0.00201190289260249,0.000482299999999988,0.00358349883790069
"73","G0800010009409",8,2263,5603,167526131300.607,320960190114.538,0.000758785999216797,0.000560299999999986,0.00504131589156394
"74","G0800010009410",8,1183,3057,106721560058.546,204855478130.679,0.000267234969341814,0.000305699999999992,0.00785457564948628
